Item - Number,Item - Name,Height,FW | HW
3,Spanish 3 Big Book,1.2,FW
6,Linear Algebra,2.65,FW
8,Data Structures,2.7,FW
11,DVORAK Typing for Dummies,2.9,FW
14,Book of 3.3 Inches,3.3,FW
16,How to use Git,4.5,FW
17,Calculus,4.7,FW
1,Spanish 1,0.5,HW
2,Spanish 2,0.9,HW
4,Calculus Answer Key,1.5,HW
5,Everything to Know About Rats & Mice,1.9,HW
7,What OSHA rules really ought to be updated,2.7,HW
9,Agile Manifesto,2.7,HW
10,"The 500 ways to use the words ""Modus Operandi"" in normal conversation",2.75,HW
12,How to Kill Several Mockingbirds,3.0,HW
13,Why test driven development is wrong,3.2,HW
15,Why test driven development is right,3.4,HW
